Identifier,Concept or Skill,Topic,Unit,Priority Level,Cognitive Demand,CPM Locked?,Course,Description
AIF.S2.1-22,identifying accessibility issues ,Accessibility,Unit 1,Must Include,Analyze,Yes,AIF Semester 2,visually inspecting an AI-generated layout to spot common problems like hard-to-read text or buttons that are too small
AIF.S2.1-38,identifying responsiveness issues ,Responsiveness,Unit 1,Must Include,Analyze,Yes,AIF Semester 2,"spotting common problems on different screen sizes, such as content overflowing the screen, elements overlapping, or text becoming unreadably small"
AIF.S2.1-45,simple competitive analysis ,Design and Planning,Unit 1,Optional,Analyze,No,AIF Semester 2,researching and analyzing existing web apps to identify their strengths and weaknesses
AIF.S2.1-06,defining a user problem ,Design and Planning,Unit 1,Must Include,Apply,Yes,AIF Semester 2,articulating a clear and specific need based on a user persona
AIF.S2.1-07,creating wireframes ,Design and Planning,Unit 1,Must Include,Apply,Yes,AIF Semester 2,sketching the layout and structure of a multi-page web app
AIF.S2.1-08,defining a brand identity ,Design and Planning,Unit 1,Must Include,Apply,Yes,AIF Semester 2,selecting a color palette and typography that aligns with a user’s needs
AIF.S2.1-12,writing descriptive prompts ,AI Collaboration,Unit 1,Must Include,Apply,Yes,AIF Semester 2,authoring detailed prompts to generate specific HTML/CSS components
AIF.S2.1-14,refining prompts ,AI Collaboration,Unit 1,Must Include,Apply,Yes,AIF Semester 2,modifying and improving prompts based on the evaluation of the AI’s output
AIF.S2.1-23,articulating accessibility needs in prompts ,Accessibility,Unit 1,Must Include,Apply,Yes,AIF Semester 2,"including specific accessibility requirements in a prompt, such as, “…ensure all text has high color contrast against its background,” or “…make all buttons and links have a large tap area for mobile users”"
AIF.S2.1-27,applying decomposition ,Computational Thinking,Unit 1,Must Include,Apply,Yes,AIF Semester 2,"breaking down a complex problem or system into smaller, more manageable parts that can be designed, implemented, or tested separately"
AIF.S2.1-28,applying abstraction ,Computational Thinking,Unit 1,Must Include,Apply,Yes,AIF Semester 2,representing only the essential details of a problem or system while ignoring low-level or extraneous details
AIF.S2.1-29,applying pattern recognition ,Computational Thinking,Unit 1,Must Include,Apply,Yes,AIF Semester 2,"identifying common design patterns across different web apps (e.g., headers, footers, card-based layouts) to plan a familiar and intuitive user experience"
AIF.S2.1-32,designing for consistency ,Systems Thinking,Unit 1,Must Include,Apply,Yes,AIF Semester 2,using a shared external stylesheet and a consistent brand identity to create a cohesive experience across multiple pages
AIF.S2.1-33,mapping a user journey ,Systems Thinking,Unit 1,Recommended,Apply,No,AIF Semester 2,planning and implementing clear navigation that guides a user through the different parts of the web app
